OBJECTID,HSISID,Name,Address1,Address2,City,State,PostalCode,PhoneNumber,RestaurantOpenDate,FacilityType,X,Y,GeocodeStatus
3001,04092010533,O`Charleys,101 ASHVILLE AVE ,,CARY,NC,27511-6606,(919) 851-9777,1991-04-22T00:00:00.000Z,Restaurant,-78.7835446710998,35.7386789464472,M
3002,04092017040,BEST WESTERN PLUS EDISON INN FOODSERVICE,1595 MECHANICAL BLVD ,,GARNER,NC,27529,(919) 662-4890,2015-10-27T00:00:00.000Z,Restaurant,-78.6447180595749,35.7239173239358,M
3003,04092021885,CHICK-FIL-A AT CARY TOWNE CENTER,"1105  WALNUT  ST., STE. FC-7",,CARY,NC,27511,(919) 380-7644,2015-11-02T00:00:00.000Z,Food Stand,-78.7602549225608,35.7737701876267,T
3004,04092021895,"PAPA'S PIZZA &amp; WINGS",5800-111 DURALEIGH RD ,,RALEIGH,NC,27612,(919) 783-7373,2015-10-21T00:00:00.000Z,Food Stand,-78.7122925844167,35.8566850505839,M
3005,04092160077,Strategic Behavioral Center-Garner (Kitchen),3200 WATERFIELD  DR ,,GARNER,NC,27529,(919) 800-4400,2012-10-16T00:00:00.000Z,Institutional Food Service,-78.5610226744966,35.6781186125833,M
3006,04092014754,Lam`s Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006-12-22T00:00:00.000Z,Restaurant,-78.6127755836993,35.7943047673474,M
3007,04092017052,"NOODLES &amp; COMPANY #866",1055 BEAVER CREEK COMMONS DR ,,APEX,NC,27502,(919) 362-9153,2015-10-09T00:00:00.000Z,Restaurant,-78.8723856825104,35.7437447665969,M
3008,04092017060,"DQ GRILL &amp; CHILL #24227",2105 TEN TEN RD ,,APEX,NC,27539,(919) 387-3809,2015-10-16T00:00:00.000Z,Restaurant,-78.8190297962993,35.7217045192987,M
3009,04092017069,"GONZA TACOS &amp; TEQUILA",2100-110 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 268-8965,2015-10-27T00:00:00.000Z,Restaurant,-78.6631085957332,35.7864235289991,M
3010,04092021905,FOOD LION #649 PRODUCE,2720 LAKE WHEELER RD ,,RALEIGH,NC,27603,(919) 755-3856,2015-10-29T00:00:00.000Z,Food Stand,-78.680340607846,35.7440595887298,M
3011,04092017095,ARBY'S RESTAURANT  #6036,151 WAKELON ST ,,ZEBULON,NC,27597,(919) 269-0995,2015-11-23T00:00:00.000Z,Restaurant,-78.3157290283611,35.8334711898933,M
